name,lat,lon,coord_source,address,suburb_dir,facilities,park_id_dir,division,suburb,hierarchy,function,embellishment,status,lps_zone,parcels,area_sqm
Regal Park,-27.677225112915,153.043014526367,directory point,"47 Bushland Drive, Regents Park",Regents Park,playground,306.0,8,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,2.0,3138.0
Regency Park,-27.6702194213867,153.049697875977,directory point,"Waller Road, Regents Park",Regents Park,playground,307.0,7,REGENTS PARK,District,Sport,2,existing,Recreation and Open Space,1.0,21402.0
Regents Park,-27.6696109771729,153.048431396484,directory point,"Bennett Drive, Regents Park",Regents Park,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,picnic_area",308.0,7,REGENTS PARK,Ecologically Sig,Natural Areas,2,existing,Recreation and Open Space,3.0,144194.0
Reserve Park,-27.6329116821289,153.127029418945,directory point,"Lake Road, Slacks Creek",Slacks Creek,"playground,toilets,fitness_equipment,basketball,bbq_wood,picnic_area,volleyball",309.0,3,SLACKS CREEK,District,Recreation,4,existing,Recreation and Open Space,1.0,21826.0
Retreat Park,-27.715145111084,153.155395507813,directory point,"Woodlands Boulevard, Waterford",Waterford,"bbq_electric,picnic_area",310.0,4,WATERFORD,Local,Recreation,3,existing,Multiple Zones,4.0,113702.0
Rhodes Park,-27.6847839355469,153.130569458008,directory point,"Rhodes Street, Loganlea",Loganlea,"playground,picnic_area",311.0,6,LOGANLEA,Local,Recreation,0,existing,Recreation and Open Space,9.0,29618.0
Richard Wilson Park,-27.7460079193115,152.939529418945,directory point,"New Beith Road, New Beith",New Beith,"playground,picnic_area",312.0,11,NEW BEITH,Ecologically Sig,Natural Areas,0,existing,Environmental Management and Conservation,2.0,162957.0
Richter Park,-27.6900310516357,153.141540527344,directory point,"Bompa Road, Waterford West",Waterford West,"playground,picnic_area",313.0,5,WATERFORD WEST,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,1787.0
Ridgecrest Park,-27.7999629974365,152.956970214844,directory point,"6 - 12 Ridgecrest Drive, Flagstone",Flagstone,"bbq_electric,playground,picnic_area",314.0,11,FLAGSTONE,Local,Recreation,0,existing,Priority Development Area,1.0,3092.0
Ridgewood Reserve South,-27.6989879608154,153.161529541016,directory point,"191 Castile Crescent, Bethania",Bethania,"bbq_electric,basketball,picnic_area",315.0,6,BETHANIA,Local,Recreation,2,existing,Recreation and Open Space,3.0,27139.0
River Hills Park West,-27.704158782959,153.21858215332,directory point,"189 River Hills Road, Eagleby",Eagleby,"dog_off-leash_area,playground,picnic_area",316.0,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,2.0,52151.0
Riverbend Park,-27.827428817749,152.979858398438,directory point,"77-83 Riverbend Boulevard, Jimboomba",Jimboomba,picnic_area,317.0,9,RIVERBEND,Landscape Amenit,Natural Areas,4,existing,Priority Development Area,3.0,261056.0
Riverdale Park,-27.6711025238037,153.155670166016,directory point,"Evans Road, Meadowbrook",Meadowbrook,"ideal_wedding_location,dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,bike_track,walking_track,bbq_wood,waterfront,fishing_pontoon,picnic_area",318.0,6,MEADOWBROOK,Metropolitan,Recreation,0,Investigation,Rural,6.0,437976.0
Riverside Park,-27.691033,153.137675,polygon centroid,,,,,5,WATERFORD WEST,Local,Recreation,2,future,LD RES - Small Acreage,2.0,14489.0
Rockford Park,-27.7221450805664,153.169189453125,directory point,"32 Coldstream Way, Holmview",Holmview,"dog_off-leash_area,picnic_area",319.0,6,HOLMVIEW,Local,Recreation,1,existing,Recreation and Open Space,2.0,6236.0
Roselea Park,-27.6457691192627,153.174942016602,directory point,"Roselea Street, Shailer Park",Shailer Park,"playground,fitness_equipment,basketball,picnic_area",320.0,3,SHAILER PARK,Local,Recreation,1,existing,Recreation and Open Space,1.0,16023.0
Rosia Park,-27.715165,153.048334,polygon centroid,,,,,8,PARK RIDGE,Ecologically Sig,Natural Areas,,existing,Emerging Community,4.0,100325.0
Rotary Park (Beenleigh),-27.7164878845215,153.20100402832,directory point,"74 George Street, Beenleigh",Beenleigh,toilets,321.0,12,BEENLEIGH,Local,Recreation,4,existing,Centre,2.0,20931.0
Rotary Park (Beenleigh),-27.716143,153.200752,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Centre,2.0,20931.0
Rotary Park (Jimboomba),-27.830212,153.023323,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Centre,2.0,20931.0
Rotary Park (Jimboomba),-27.8298435211182,153.024291992188,directory point,"1 Johanna Street, Jimboomba",Jimboomba,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,walking_track,picnic_area",322.0,12,BEENLEIGH,Local,Recreation,4,existing,Centre,2.0,20931.0
Rowan Park,-27.642583,153.119255,polygon centroid,,,,,3,SLACKS CREEK,Local,Recreation,3,existing,Recreation and Open Space,1.0,3625.0
Royal Park,-27.649798,153.129829,polygon centroid,,,,,3,SLACKS CREEK,Local,Recreation,4,existing,Recreation and Open Space,2.0,3506.0
Rutyna Park,-27.69656,153.07785,polygon centroid,,,,,8,CRESTMEAD,Local,Recreation,4,existing,Recreation and Open Space,3.0,5970.0
SEBRING PARK,-27.813645,153.003084,polygon centroid,,,,,9,RIVERBEND,Corridor,Recreation,,existing,,2.0,0.0
Samuel & Agnes Smith Park,-27.741159,153.123481,polygon centroid,,,,,4,BUCCAN,Corridor,Recreation,2,existing,Environmental Management and Conservation,1.0,77292.0
Samuel and Agnes Smith Park,-27.7408561706543,153.123794555664,directory point,"Waterford-Tamborine Road, Buccan",Buccan,"bbq_wood,waterfront,picnic_area",323.0,,,,,,,,,
Sanctuary Parklands,-27.7118854522705,153.147674560547,directory point,"1-16 Sanctuary Parkway, Waterford",Waterford,"bbq_electric,fitness_equipment,picnic_area",324.0,4,WATERFORD,Landscape Amenit,Natural Areas,0,existing,Multiple Zones,3.0,66789.0
Sandstone Park,-27.8066291809082,153.121002197266,directory point,"Slate Street, Yarrabilba",Yarrabilba,picnic_area,325.0,4,YARRABILBA,Local,Recreation,0,existing,Priority Development Area,1.0,27254.0
Saratoga Park,-27.7242279052734,153.193176269531,directory point,"33A Yan Yean Street, Beenleigh",Beenleigh,"playground,picnic_area",326.0,12,BEENLEIGH,Local,Recreation,4,existing,Recreation and Open Space,1.0,3767.0
Saunders Park,-27.8898029327393,153.001968383789,directory point,"Old Bluff Road, Cedar Vale",Cedar Vale,"bbq_electric,playground,picnic_area",327.0,9,CEDAR VALE,Landscape Amenit,Natural Areas,3,existing,Environmental Management and Conservation,2.0,34134.0
Schonwerder Drive Reserve,-27.744535446167,153.191955566406,directory point,"4 Schonwerder Drive, Windaroo",Windaroo,"playground,picnic_area",328.0,,,,,,,,,
Scottdale Park,-27.779683,152.996432,polygon centroid,,,,,11,NORTH MACLEAN,District,Recreation,0,existing,Recreation and Open Space,1.0,82094.0
Scouters Park,-27.641131,153.157229,polygon centroid,,,,,3,DAISY HILL,Local,Recreation,2,existing,Recreation and Open Space,1.0,8665.0
Seaton Park,-27.6628894805908,153.020324707031,directory point,"Windsong Court, Hillcrest",Hillcrest,"playground,picnic_area",329.0,7,HILLCREST,Local,Recreation,2,existing,Recreation and Open Space,2.0,30540.0
Sepia Park,-27.7978534698486,153.103454589844,directory point,"95 - 101 Summerview Avenue, Yarrabilba",Yarrabilba,picnic_area,330.0,4,YARRABILBA,Minor,Recreation,,existing,PDA - Priority Development Area,1.0,2920.0
Settlers Green Park,-27.703443,153.167083,polygon centroid,,,,,6,EDENS LANDING,Local,Recreation,4,existing,Recreation and Open Space,3.0,5423.0
Settlers Green Reserve,-27.7034912109375,153.167129516602,directory point,"Grove Road, Edens Landing",Edens Landing,playground,331.0,,,,,,,,,
Settlers Park (Flagstone),-27.826132,152.945089,polygon centroid,,,,,11,FLAGSTONE,Local,Recreation,4,existing,Recreation and Open Space,4.0,11272.0
Settlers Park (Jimboomba),-27.8261871337891,152.9453125,directory point,"1 Drover Crescent, Jimboomba",Jimboomba,"playground,basketball,picnic_area",332.0,11,FLAGSTONE,Local,Recreation,4,existing,Recreation and Open Space,4.0,11272.0
Settlers Park (Woodridge),-27.6271553039551,153.099426269531,directory point,"Nurdi Street, Woodridge",Woodridge,"basketball,picnic_area",333.0,11,FLAGSTONE,Local,Recreation,4,existing,Recreation and Open Space,4.0,11272.0
Settlers Park (Woodridge),-27.627246,153.099396,polygon centroid,,,,,11,FLAGSTONE,Local,Recreation,4,existing,Recreation and Open Space,4.0,11272.0
Seymore Park,-27.6877822875977,153.025177001953,directory point,"Seymore Court, Boronia Heights",Boronia Heights,playground,334.0,7,BORONIA HEIGHTS,Local,Recreation,2,existing,Recreation and Open Space,2.0,5231.0
Shailer Pioneer Park,-27.648811340332,153.159301757813,directory point,"6-12 Harley Street, Shailer Park",Shailer Park,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,bike_track,tennis_courts,skate_facilities,picnic_area",335.0,10,SHAILER PARK,District,Recreation,1,existing,Recreation and Open Space,1.0,38328.0
Shannon Ramsay Park,-27.6837577819824,153.036071777344,directory point,"Gingko Crescent, Regents Park",Regents Park,"playground,picnic_area",336.0,8,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,1.0,3221.0
Shaw Street Oval,-27.8048343658447,153.099670410156,directory point,"Shaw Street, Yarrabilba",Yarrabilba,"dog_off-leash_area,picnic_area",337.0,4,YARRABILBA,District,Sport,,existing,PDA - Priority Development Area,1.0,48284.0
Sherwood Park,-27.6585464477539,153.04931640625,directory point,"Sherwood Drive, Browns Plains",Browns Plains,"playground,picnic_area",338.0,7,BROWNS PLAINS,Local,Recreation,2,existing,Recreation and Open Space,1.0,4781.0
Sienko Park,-27.663129,153.016655,polygon centroid,,,,,7,FORESTDALE,Local,Recreation,4,existing,Recreation and Open Space,1.0,32241.0
Silvertop Park,-27.6637783050537,153.033477783203,directory point,"Silvertop Street, Hillcrest",Hillcrest,"ideal_wedding_location,bbq_electric,playground,picnic_area",339.0,7,HILLCREST,Local,Recreation,1,existing,Recreation and Open Space,1.0,12489.0
Skerman Park,-27.768771,152.98154,polygon centroid,,,,,11,NORTH MACLEAN,District,Sport,4,existing,Recreation and Open Space,2.0,115717.0
Skinners Bushland Park,-27.678892,153.225349,polygon centroid,,,,,10,CARBROOK,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,6190.0
Skinners Park,-27.6797828674316,153.226501464844,directory point,"Skinners Road,Carbrook","Skinners Road,Carbrook","dog_off-leash_area,playground,toilets,boat_ramp,wheelchair_toilets,bike_track,bbq_wood,waterfront,fishing_pontoon,picnic_area",340.0,10,CARBROOK,District,Recreation,2,existing,Recreation and Open Space,1.0,28151.0
Skyline Park,-27.78776,153.02327,polygon centroid,,,,,9,SOUTH MACLEAN,Corridor,Recreation,0,existing,Environmental Management and Conservation,2.0,22854.0
Solandra Park,-27.6850395202637,153.041961669922,directory point,"1-3 Aspera Street, Regents Park",Regents Park,"playground,picnic_area",341.0,8,REGENTS PARK,Local,Recreation,3,existing,Recreation and Open Space,1.0,2453.0
Solway Park,-27.661643,153.266642,polygon centroid,,,,,10,CARBROOK,Local,Recreation,3,existing,Recreation and Open Space,1.0,9723.0
Songbird Park,-27.8035411834717,152.960296630859,directory point,"31 - 41 Reserve Road, Flagstone",Flagstone,"bbq_electric,playground,picnic_area",342.0,11,FLAGSTONE,Local,Recreation,,existing,PDA - Priority Development Area,1.0,4668.0
South Quarter Park,-27.682327,153.140595,polygon centroid,,,,,6,LOGANLEA,Corridor,Recreation,,existing,Rural - Farming,2.0,61287.0
Spann Park,-27.706379,153.143966,polygon centroid,,,,,5,WATERFORD WEST,Corridor,Recreation,3,existing,Recreation and Open Space,1.0,19885.0
Spearwood Park,-27.8331565856934,152.988052368164,directory point,"106 Candlebark Road, Jimboomba",Jimboomba,"bbq_wood,picnic_area",343.0,9,GLENLOGAN,District,Recreation,4,existing,Recreation and Open Space,1.0,92498.0
Spring Mountain Lagoon Park,-27.7516326904297,152.917358398438,directory point,"Spring Mountain Drive, New Beith",New Beith,"bbq_electric,playground,toilets,picnic_area",344.0,,,,,,,,,
Spring Mountain Reserve,-27.7396984100342,152.923355102539,directory point,"Tully Connection Road, Greenbank",Greenbank,"bbq_electric,playground,toilets,fitness_equipment,basketball,walking_track,picnic_area",345.0,11,NEW BEITH,Ecologically Sig,Natural Areas,4,future,Park Residential,8.0,455245.0
Springlands Park,-27.652579,153.152614,polygon centroid,,,,,3,SLACKS CREEK,Local,Recreation,3,existing,Recreation and Open Space,1.0,16177.0
Springvale Park,-27.6147537231445,153.113082885742,directory point,"28-46 Springvale Circuit, Underwood",Underwood,"dog_off-leash_area,fitness_equipment",346.0,2,UNDERWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,28671.0
Springwood Conservation Park,-27.6241493225098,153.142791748047,directory point,"Jardine Drive, Springwood",Springwood,"toilets,wheelchair_toilets,walking_track,picnic_area",347.0,1,SPRINGWOOD,Ecologically Sig,Natural Areas,1,existing,Environmental Management and Conservation,7.0,326895.0
Springwood Park,-27.6151313781738,153.130813598633,directory point,"Cinderella Drive, Springwood",Springwood,"ideal_wedding_location,bbq_electric,playground,toilets,wheelchair_toilets,bike_track,picnic_area",348.0,1,SPRINGWOOD,District,Recreation,1,existing,Recreation and Open Space,8.0,38405.0
St James Park,-27.6767063140869,153.054489135742,directory point,"St. James Circuit, Heritage Park",Heritage Park,playground,349.0,8,HERITAGE PARK,Ecologically Sig,Natural Areas,4,existing,Recreation and Open Space,9.0,169542.0
Stoneleigh Park,-27.7184638977051,153.172317504883,directory point,"1-15 Stoneleigh Way, Holmview",Holmview,picnic_area,350.0,6,HOLMVIEW,Landscape Amenit,Natural Areas,1,existing,Multiple Zones,3.0,18751.0
Stoneleigh Reserve Park,-27.7112350463867,153.113815307617,directory point,13-25 Stoneleigh Reserve Boulevard,13-25 Stoneleigh Reserve Boulevard,"bbq_electric,playground,fitness_equipment,bike_track,picnic_area",351.0,8,LOGAN RESERVE,District,Sport,,existing,Emerging Community,2.0,102512.0
Stoten Park,-27.691629,153.210255,polygon centroid,,,,,12,EAGLEBY,Local,Recreation,0,existing,Recreation and Open Space,1.0,17758.0
Sturdee Park,-27.6715641021729,153.12873840332,directory point,"Sturdee Street, Loganlea",Loganlea,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,basketball,skate_facilities,picnic_area",352.0,6,LOGANLEA,District,Recreation,2,existing,Recreation and Open Space,3.0,53894.0
Summerview Park,-27.800904,153.108211,polygon centroid,,,,,4,YARRABILBA,Local,Recreation,,existing,PDA - Priority Development Area,1.0,7116.0
Sunday Reserve,-27.8692016601563,153.054977416992,directory point,"Sunday Drive, Jimboomba",Jimboomba,picnic_area,353.0,9,JIMBOOMBA,Landscape Amenit,Natural Areas,,existing,Park Residential,5.0,227590.0
Sunridge Park,-27.7505340576172,153.184478759766,directory point,"2-8 Parkview Street, Bahrs Scrub",Bahrs Scrub,"playground,fitness_equipment,picnic_area",354.0,6,BAHRS SCRUB,Local,Recreation,1,existing,Recreation and Open Space,1.0,9005.0
Sunrise Park,-27.687952041626,153.044418334961,directory point,"Sunrise Crescent, Regents Park",Regents Park,"playground,fitness_equipment,picnic_area",355.0,8,REGENTS PARK,Local,Recreation,1,existing,Recreation and Open Space,2.0,19450.0
Surman Park,-27.6738014221191,153.134063720703,directory point,"Surman Street, Loganlea",Loganlea,picnic_area,356.0,6,LOGANLEA,Local,Recreation,4,existing,Low-Medium Density Residential,6.0,6461.0
Sussex Park,-27.6591777801514,153.040115356445,directory point,"Sussex Street, Browns Plains",Browns Plains,playground,357.0,7,BROWNS PLAINS,Minor,Recreation,0,existing,Centre,1.0,2321.0
Sutton Park,-27.6646976470947,153.054656982422,directory point,"Basie Court, Browns Plains",Browns Plains,picnic_area,358.0,7,BROWNS PLAINS,Local,Recreation,2,existing,Recreation and Open Space,1.0,11256.0
Sweetgum Park,-27.6642875671387,153.024703979492,directory point,"Sweetgum Street, Hillcrest",Hillcrest,"bbq_electric,playground,fitness_equipment,picnic_area",359.0,7,HILLCREST,Local,Recreation,1,existing,Recreation and Open Space,1.0,6879.0
Talbot Park,-27.7352333068848,152.973556518555,directory point,"Talbot Drive, Greenbank",Greenbank,"playground,picnic_area",360.0,11,GREENBANK,Local,Recreation,0,existing,PDA - Priority Development Area,5.0,16000.0
Tallagandra Park,-27.725761,153.188535,polygon centroid,,,,,12,BEENLEIGH,Local,Recreation,4,existing,Recreation and Open Space,1.0,2800.0
Tallowood Park,-27.6204147338867,153.135116577148,directory point,"Rholanda Crescent, Springwood",Springwood,"playground,picnic_area",361.0,1,SPRINGWOOD,District,Sport,2,existing,Recreation and Open Space,3.0,36845.0
Tallwoods Corridor,-27.8018550872803,153.107315063477,directory point,"Tallwoods Circuit, Yarrabilba",Yarrabilba,picnic_area,362.0,4,YARRABILBA,Landscape Amenit,Natural Areas,,existing,PDA - Priority Development Area,3.0,97335.0
Tamarind Park,-27.6768646240234,153.113861083984,directory point,"Kurrajong Drive, Marsden",Marsden,"dog_off-leash_area,picnic_area",363.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,1.0,26292.0
Tansey Park,-27.6792240142822,153.168594360352,directory point,"108 Tansey Drive, Tanah Merah",Tanah Merah,"playground,boat_ramp,waterfront",364.0,10,TANAH MERAH,Corridor,Recreation,0,existing,Recreation and Open Space,5.0,217180.0
Taylor Park,-27.831203,153.173167,polygon centroid,,,,,4,CEDAR CREEK,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,78488.0
Teviot Downs Park,-27.7533931732178,152.968231201172,directory point,"26-28 Bradman Street, New Beith",New Beith,"dog_off-leash_area,bbq_electric,playground,toilets,wheelchair_toilets,basketball,bike_track,picnic_area",365.0,11,NEW BEITH,District,Recreation,1,existing,Recreation and Open Space,1.0,45852.0
Teviot Laneway,-27.8239192962646,152.955383300781,directory point,"Teviot Road, Jimboomba",Jimboomba,dog_off-leash_area,366.0,11,FLAGSTONE,,Other,0,existing,Recreation and Open Space,1.0,3150.0
Theodore Park,-27.691858291626,153.159103393555,directory point,"57 Church Road, Bethania",Bethania,playground,367.0,6,BETHANIA,Minor,Recreation,4,existing,,1.0,1375.0
Third Park,-27.67561,153.088232,polygon centroid,,,,,5,MARSDEN,Local,Recreation,4,existing,Recreation and Open Space,4.0,6613.0
Thornside Park,-27.704753,153.216145,polygon centroid,,,,,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,1.0,2044.0
Thorsbourne Park,-27.7121124267578,153.190994262695,directory point,"30 Chapman Drive, Beenleigh",Beenleigh,playground,368.0,12,BEENLEIGH,Local,Recreation,4,existing,Recreation and Open Space,1.0,15781.0
Thwaites Reserve,-27.7569618225098,153.193481445313,directory point,"24 Thwaites Street, Bannockburn",Bannockburn,"playground,basketball",369.0,4,BANNOCKBURN,Local,Recreation,4,existing,Recreation and Open Space,2.0,38433.0
Timberline Pathway Park,-27.804443359375,152.954696655273,directory point,"37 Timberline Way, Jimboomba",Jimboomba,playground,370.0,11,FLAGSTONE,,Other,0,existing,Low Density Residential,1.0,1184.0
Timms Park,-27.621297,153.10754,polygon centroid,,,,,2,WOODRIDGE,Local,Recreation,0,existing,Recreation and Open Space,1.0,9444.0
Timothy Park,-27.6274890899658,153.126739501953,directory point,"Timothy Court, Slacks Creek",Slacks Creek,picnic_area,371.0,3,SLACKS CREEK,Landscape Amenit,Natural Areas,4,existing,Recreation and Open Space,10.0,80482.0
Timperley Park,-27.684871673584,153.100769042969,directory point,"Timperley Court, Marsden",Marsden,"bbq_wood,picnic_area",372.0,5,MARSDEN,Local,Recreation,2,existing,Recreation and Open Space,2.0,5853.0
Toolooma Park,-27.637565612793,153.113052368164,directory point,"Toolooma Street, Logan Central",Logan Central,"playground,picnic_area",373.0,2,LOGAN CENTRAL,Minor,Recreation,4,existing,Recreation and Open Space,2.0,1408.0
Tovey Park,-27.6913719177246,153.019775390625,directory point,"Parklands Drive, Boronia Heights",Boronia Heights,"playground,fitness_equipment,basketball,bmx,bbq_wood,skate_facilities,picnic_area,volleyball",374.0,7,BORONIA HEIGHTS,Local,Recreation,1,existing,Recreation and Open Space,2.0,42707.0
Towns Park,-27.771312713623,153.100936889648,directory point,"35-55 Towns Avenue, Logan Village",Logan Village,"playground,picnic_area",375.0,4,LOGAN VILLAGE,Corridor,Recreation,0,existing,Recreation and Open Space,6.0,232199.0
Trace Reserve,-27.780692,153.015507,polygon centroid,,,,,9,NORTH MACLEAN,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,39451.0
Trailwood Park,-27.6969718933105,153.216400146484,directory point,"52 Sunscape Drive, Eagleby",Eagleby,"playground,picnic_area",376.0,12,EAGLEBY,Local,Recreation,4,existing,Recreation and Open Space,1.0,7339.0
Trinder Park,-27.6297798156738,153.096954345703,directory point,"Patricia Avenue, Woodridge",Woodridge,picnic_area,377.0,2,WOODRIDGE,Local,Recreation,3,existing,,1.0,1406.0
Tudor Park,-27.6903553009033,153.181579589844,directory point,"Clarks Road, Loganholme",Loganholme,"dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,cricket_practice_net,walking_track,skate_facilities,picnic_area",378.0,10,LOGANHOLME,District,Recreation,2,existing,Recreation and Open Space,6.0,114236.0
Tully Memorial Park,-27.7826633453369,153.009719848633,directory point,"Beryl Parade, North Maclean",North Maclean,"toilets,bbq_wood,picnic_area",379.0,11,NORTH MACLEAN,District,Sport,2,existing,Recreation and Open Space,5.0,71970.0
Turnock Park,-27.6068744659424,153.10676574707,directory point,"2-6 Centenial Street, Underwood",Underwood,"dog_off-leash_area,playground,fitness_equipment,picnic_area",380.0,2,UNDERWOOD,Local,Recreation,2,existing,Recreation and Open Space,1.0,11578.0
Turquoise Park,-27.679158,153.15138,polygon centroid,,,,,6,BETHANIA,Corridor,Recreation,0,existing,Recreation and Open Space,1.0,1396.0
Tygum Park,-27.6947994232178,153.132308959961,directory point,"Tygum Road, Waterford West",Waterford West,"bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,waterfront,fishing_pontoon,skate_facilities,picnic_area",381.0,5,WATERFORD WEST,District,Recreation,1,existing,Recreation and Open Space,23.0,210732.0
Underwood Park,-27.6000003814697,153.147277832031,directory point,"Underwood Road, Priestdale",Priestdale,"ideal_wedding_location,dog_off-leash_area,bbq_electric,playground,toilets,fitness_equipment,wheelchair_toilets,basketball,bmx,bbq_wood,skate_facilities,picnic_area",382.0,1,ROCHEDALE SOUTH,Metropolitan,Recreation,1,Investigation,LD Res - Suburban,5.0,419767.0
Usher Park,-27.6430416107178,153.158752441406,directory point,"Rose Street, Daisy Hill",Daisy Hill,toilets,383.0,3,DAISY HILL,District,Sport,2,existing,Recreation and Open Space,4.0,93569.0
Valencia Park,-27.6430606842041,153.137435913086,directory point,"Valencia Way, Slacks Creek",Slacks Creek,picnic_area,384.0,3,SLACKS CREEK,Local,Recreation,3,existing,Recreation and Open Space,1.0,3287.0
Valley View Park,-27.7163391113281,153.161117553711,directory point,"38 - 56 Ridgevale Boulevard, Holmview",Holmview,"bbq_electric,playground,toilets,picnic_area",385.0,6,HOLMVIEW,Local,Recreation,1,existing,Low Density Residential,1.0,9704.0
Veivers Park,-27.805762,153.170752,polygon centroid,,,,,4,CEDAR CREEK,Corridor,Recreation,0,existing,Environmental Management and Conservation,2.0,55692.0
Veryan Park,-27.650764465332,153.114776611328,directory point,"Veryan Street, Kingston",Kingston,"playground,basketball,picnic_area",386.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,1.0,8149.0
View Park,-27.6591415405273,153.113510131836,directory point,"View Street, Kingston",Kingston,"playground,picnic_area",387.0,2,KINGSTON,Local,Recreation,2,existing,Recreation and Open Space,5.0,3923.0
Village Green,-27.7682495117188,153.105545043945,directory point,"1-5 River Street, Logan Village",Logan Village,"bbq_electric,playground,toilets,basketball,skate_facilities,picnic_area",388.0,4,LOGAN VILLAGE,Local,Recreation,1,existing,Centre,2.0,15459.0
Village Park,-27.6402282714844,153.14208984375,directory point,"Village Drive,Daisy Hill","Village Drive,Daisy Hill","dog_off-leash_area,playground,fitness_equipment,bbq_wood,picnic_area",389.0,3,DAISY HILL,Local,Recreation,1,existing,Recreation and Open Space,1.0,21380.0
Volstead Corner Park,-27.6786594390869,153.061767578125,directory point,"Bayliss Road, Heritage Park",Heritage Park,picnic_area,390.0,8,HERITAGE PARK,Landscape Amenit,Natural Areas,4,existing,Multiple Zones,1.0,5199.0
Wagawn Park,-27.6352691650391,153.114334106445,directory point,"Wagawn Street, Woodridge",Woodridge,"playground,basketball,picnic_area,volleyball",391.0,2,WOODRIDGE,Local,Recreation,2,existing,Recreation and Open Space,1.0,3819.0
Wagensveldt Park,-27.6447067260742,153.133926391602,directory point,"Wagensveldt Street, Kingston",Kingston,"playground,basketball,picnic_area",392.0,3,SLACKS CREEK,Local,Recreation,3,existing,Recreation and Open Space,1.0,3144.0
Waitara Park,-27.640209197998,153.112930297852,directory point,"Waitara Street, Logan Central",Logan Central,playground,393.0,2,LOGAN CENTRAL,Local,Recreation,3,existing,Recreation and Open Space,1.0,2582.0
Walkabout Park,-27.7350959777832,153.072021484375,directory point,"54-66 Grey Gum Road, Chambers Flat",Chambers Flat,"bbq_electric,playground,picnic_area",394.0,8,CHAMBERS FLAT,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,2.0,39959.0
Waller Park,-27.6662693023682,153.047760009766,directory point,"Waller Road, Browns Plains",Browns Plains,"playground,toilets,wheelchair_toilets,basketball,bmx,skate_facilities,picnic_area,volleyball",395.0,7,BROWNS PLAINS,District,Other,0,existing,Recreation and Open Space,4.0,85611.0
Waterford Park,-27.7082004547119,153.140029907227,directory point,"151 Waterford Tamborine Road, Waterford",Waterford,picnic_area,396.0,4,WATERFORD,Corridor,Recreation,4,existing,Environmental Management and Conservation,2.0,54465.0
Waterford West District Park,-27.688972,153.106782,polygon centroid,,,,,5,WATERFORD WEST,District,Recreation,0,existing,Recreation and Open Space,5.0,60593.0
Waterford-Tamborine Park,-27.864461,153.122802,polygon centroid,,,,,4,TAMBORINE,District,Recreation,0,existing,Multiple Zones,1.0,55679.0
Wearing Park,-27.7400741577148,153.010711669922,directory point,"Greenhill Road, Munruben",Munruben,"playground,basketball,skate_facilities,picnic_area",397.0,11,MUNRUBEN,Ecologically Sig,Natural Areas,2,existing,Environmental Management and Conservation,12.0,628839.0
Wells Park,-27.6906051635742,153.103012084961,directory point,"Chambers Flat Road, Crestmead",Crestmead,playground,398.0,5,CRESTMEAD,Local,Recreation,2,existing,Recreation and Open Space,1.0,6595.0
Wembley Falls Park,-27.6409740447998,153.105270385742,directory point,"Railway Parade, Logan Central",Logan Central,"ideal_wedding_location,picnic_area",399.0,2,LOGAN CENTRAL,Local,Recreation,3,existing,Centre,6.0,6987.0
Wendron Park,-27.5906791687012,153.133438110352,directory point,"Wendron Street, Rochedale South",Rochedale South,playground,400.0,1,ROCHEDALE SOUTH,Local,Recreation,3,existing,Recreation and Open Space,1.0,4921.0
Wendt Park,-27.7604293823242,153.067962646484,directory point,"139 Wendt Road, Chambers Flat",Chambers Flat,"bbq_wood,picnic_area",401.0,9,CHAMBERS FLAT,Corridor,Recreation,4,existing,Environmental Management and Conservation,1.0,23215.0
Wharf Park,-27.784996,153.015439,polygon centroid,,,,,9,SOUTH MACLEAN,Corridor,Recreation,0,existing,Environmental Management and Conservation,2.0,10472.0
Wharf Street Reserve,-27.693828,153.13877,polygon centroid,,,,,5,WATERFORD WEST,Corridor,Recreation,,existing,Recreation and Open Space,5.0,10760.0
