Narration tail (as posted),Lines,$ ex GST,Register contractor,Retailer account,Directory candidates on this street,Your decision (site name),Notes,Web verification status,Verification source,Google search link
95 Tuscan Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2295+Tuscan+Circuit%22+Logan+QLD+park
Lot 900 Petermann Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Petermann+Circuit%22+Logan+QLD+park
Lot 900 Richland Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+900+Richland+Drive%22+Logan+QLD+park
78 River Park Drive,1,$17.65,Journal (no supplier),,Lake Breeze Park,Lake Breeze Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%2278+River+Park+Drive%22+Logan+QLD+park
78 Strata Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2278+Strata+Circuit%22+Logan+QLD+park
Lot 51 Grandview Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+51+Grandview+Road%22+Logan+QLD+park
Lot 904 Carvers Way,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+904+Carvers+Way%22+Logan+QLD+park
Lot 904 Enclave Drive,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+904+Enclave+Drive%22+Logan+QLD+park
Morrison Lane,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Morrison+Lane%22+Logan+QLD+park
Lot 998 River Park Drive,1,$17.65,Journal (no supplier),,Lake Breeze Park,Lake Breeze Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+998+River+Park+Drive%22+Logan+QLD+park
631 Logan Reserve Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22631+Logan+Reserve+Road%22+Logan+QLD+park
66 Kerry Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2266+Kerry+Street%22+Logan+QLD+park
66A Kerry Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2266A+Kerry+Street%22+Logan+QLD+park
80 Lady Ardee Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2280+Lady+Ardee+Circuit%22+Logan+QLD+park
Lot 100 Gardiner Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+100+Gardiner+Road%22+Logan+QLD+park
Lot 102 Arbee Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+102+Arbee+Road%22+Logan+QLD+park
Lot 102 Kimberley Drive,1,$17.65,Journal (no supplier),,Pardoo Park,Pardoo Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+102+Kimberley+Drive%22+Logan+QLD+park
Lot 9005 Covella Boulevard,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9005+Covella+Boulevard%22+Logan+QLD+park
Lot 9005 Dryander Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9005+Dryander+Street%22+Logan+QLD+park
Lot 9005 Pebble Creek Way,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9005+Pebble+Creek+Way%22+Logan+QLD+park
Lot 23 Unnamed Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+23+Unnamed+Road%22+Logan+QLD+park
Lot 24 Bowman Lane,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+24+Bowman+Lane%22+Logan+QLD+park
Lot 28 Beryl Parade,1,$17.65,Journal (no supplier),,Tully Memorial Park,Tully Memorial Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+28+Beryl+Parade%22+Logan+QLD+park
Lot 3 Scott Lane,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+3+Scott+Lane%22+Logan+QLD+park
LOT 703 HOLZHEIMER ROAD,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22LOT+703+HOLZHEIMER+ROAD%22+Logan+QLD+park
Queens Road Scrubby Creek,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Queens+Road+Scrubby+Creek%22+Logan+QLD+park
186 Waterford Tamborine Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22186+Waterford+Tamborine+Road%22+Logan+QLD+park
187 Gilmore Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22187+Gilmore+Road%22+Logan+QLD+park
Lot 9006 Pebble Creek Way,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9006+Pebble+Creek+Way%22+Logan+QLD+park
Lot 1 Marks Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+1+Marks+Road%22+Logan+QLD+park
Lot 100 Arbee Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+100+Arbee+Road%22+Logan+QLD+park
Lot 9004 Alectura Crescent,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9004+Alectura+Crescent%22+Logan+QLD+park
Lot 9004 Expedition Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9004+Expedition+Road%22+Logan+QLD+park
23 Meander Circuit,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2223+Meander+Circuit%22+Logan+QLD+park
23 Webster Terrace,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2223+Webster+Terrace%22+Logan+QLD+park
24 Sarah Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2224+Sarah+Street%22+Logan+QLD+park
25 Mundoolun Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2225+Mundoolun+Road%22+Logan+QLD+park
25 Old Mill Road,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2225+Old+Mill+Road%22+Logan+QLD+park
Adelaide Circuit Park East,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Adelaide+Circuit+Park+East%22+Logan+QLD+park
9 Lovell Street,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%229+Lovell+Street%22+Logan+QLD+park
90 Ridgevale Boulevard,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2290+Ridgevale+Boulevard%22+Logan+QLD+park
91 Bloomfield Esplanade,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2291+Bloomfield+Esplanade%22+Logan+QLD+park
91 Starlight Court,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2291+Starlight+Court%22+Logan+QLD+park
19 Dusk Place,1,$17.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2219+Dusk+Place%22+Logan+QLD+park
80 Belivah Road,1,$15.50,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2280+Belivah+Road%22+Logan+QLD+park
128 Norris Creek Road,2,$13.28,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22128+Norris+Creek+Road%22+Logan+QLD+park
Browns Plains Rd Marsden QLD 4132,36,$10.55,Origin Energy (collective account),31900071238,Havenbah Park; Oakdale Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Browns+Plains+Rd+Marsden+QLD+4132%22+Logan+QLD+park
123 FEDERATION DR BETHANIA,1,$10.15,Unidentified (FY2023/24 series 8-digit),,Argule Park; Federation Drive Reserve; Oppermann Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22123+FEDERATION+DR+BETHANIA%22+Logan+QLD+park
"Paradise Rd, Slacks Creek, QLD 4127",3,$9.07,Origin Energy (collective account),31900072177,Bill Carmody Park; Greenwood Lakes; Mabel Park; Paradise Park,UNRESOLVED - multiple candidate parks,AMBIGUOUS - public records identify more than one park on the street,AMBIGUOUS - public records identify more than one park on the street,https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Paradise+Rd%2C+Slacks+Creek%2C+QLD+4127%22+Logan+QLD+park
38 Wyndham Circuit,1,$8.65,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2238+Wyndham+Circuit%22+Logan+QLD+park
10 Graham Circuit,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2210+Graham+Circuit%22+Logan+QLD+park
2 Orchard Street,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%222+Orchard+Street%22+Logan+QLD+park
1 Vespar Road,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%221+Vespar+Road%22+Logan+QLD+park
Lot 961 Spinebill Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+961+Spinebill+Drive%22+Logan+QLD+park
Lot 991 Tully Road,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+991+Tully+Road%22+Logan+QLD+park
Lot 992 Spring Mountain Drive,1,$7.75,Journal (no supplier),,Spring Mountain Lagoon Park,Spring Mountain Lagoon Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+992+Spring+Mountain+Drive%22+Logan+QLD+park
26 Preston Street,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2226+Preston+Street%22+Logan+QLD+park
71 Anderson Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2271+Anderson+Drive%22+Logan+QLD+park
135 West Sentinel Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22135+West+Sentinel+Drive%22+Logan+QLD+park
125 Chervil Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22125+Chervil+Drive%22+Logan+QLD+park
195 Munroe Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22195+Munroe+Drive%22+Logan+QLD+park
158 Bellbird Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22158+Bellbird+Drive%22+Logan+QLD+park
159 Bellbird Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22159+Bellbird+Drive%22+Logan+QLD+park
Lot 9020 West Sentinel Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9020+West+Sentinel+Drive%22+Logan+QLD+park
Lot 997 Spring Mountain Drive,1,$7.75,Journal (no supplier),,Spring Mountain Lagoon Park,Spring Mountain Lagoon Park,SUPPORTED - unique official directory candidate on the posted street,SUPPORTED - unique official directory candidate on the posted street,https://services5.arcgis.com/ZUCWDRj8F77Xo351/arcgis/rest/services/Logan_City_Council_Parks/FeatureServer/0,https://www.google.com/search?q=%22Lot+997+Spring+Mountain+Drive%22+Logan+QLD+park
Lot 994 Tully Road,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+994+Tully+Road%22+Logan+QLD+park
43 Autumn Avenue,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2243+Autumn+Avenue%22+Logan+QLD+park
65 Chervil Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%2265+Chervil+Drive%22+Logan+QLD+park
Lot 9013 Australis Circuit,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9013+Australis+Circuit%22+Logan+QLD+park
Lot 9024 Bandicoot Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9024+Bandicoot+Drive%22+Logan+QLD+park
Lot 9025 Bandicoot Drive,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9025+Bandicoot+Drive%22+Logan+QLD+park
Lot 901 Pathfinder Road,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+901+Pathfinder+Road%22+Logan+QLD+park
Lot 9015 Brushtail Court,1,$7.75,Journal (no supplier),,,UNRESOLVED - no unique public match,"NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park","NO UNIQUE PUBLIC MATCH - address, lot or narration does not establish a named park",https://www.logan.qld.gov.au/community/parks-and-gardens/parks-directory,https://www.google.com/search?q=%22Lot+9015+Brushtail+Court%22+Logan+QLD+park
